S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
78,BSCPL,3,12.10.2010,NA,NA,NA,NA,NA,NA,9,NA,NA,
79,ITC,5.4,22.10.2010,NA,NA,1,NA,3,0,NA,NA,NA,
80,MAQ SOFTWARE,4.15,26.10.2010,NA,5,NA,0,NA,NA,NA,NA,NA,
81,MAHINDRA SATYAM,3.5,28.10.2010,NA,NA,1,NA,0,2,NA,NA,NA,
82,SUBEX,4.5,11.11.2010,0,1,0,0,NA,NA,NA,NA,NA,
83,FACTSET,6,12.11.2010,1,2,0,1,NA,NA,NA,NA,NA,
84,L & T,4.2,14.11.2010,NA,NA,1,NA,4,NA,10,NA,NA,
85,MICROSOFT,8.5,25.11.2010,NA,7,NA,1,NA,NA,NA,NA,NA,
86,BE BILLIMORIA CO.LTD.,3.25,26.11.2010,NA,NA,NA,NA,NA,NA,4,NA,NA,
87,MAHINDRA & MAHINDRA,4.32,16.12.2010,NA,NA,NA,NA,2,5,NA,NA,NA,
88,CTS,3.25,"17 &
18.12.2010",84,83,30,32,33,26,23,20,31,
89,INFOSYS,3.25,19.12.2010,56,49,19,20,12,11,10,4,7,
90,WIPRO,3.25,20.12.2010,11,13,3,6,2,5,5,3,2,
91,DELOITTE,4.5,21.12.2010,9,8,1,6,NA,NA,NA,NA,NA,
92,HCL TECHNOLOGIES,3.5,22.12.2010,3,12,4,5,NA,NA,NA,NA,NA,
93,CAPGEMINI,3.15,23.12.2010,10,22,8,10,11,5,5,8,3,
94,ADP,3.65,24.12.2010,2,5,0,0,NA,NA,NA,NA,NA,
95,CYBAGE,3,29.12.2010,1,3,NA,2,NA,NA,NA,NA,NA,
96,HEAD STRONG,3.5,29.12.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,
97,L & T METRO RAIL,3.3,04.01.2011,NA,NA,1,NA,2,NA,,NA,NA,
98,IDEA CELLULAR LTD.,4.25,4.012011,6,NA,NA,NA,NA,NA,NA,NA,NA,
99,ACCENTURE (OFF CAMPUS),3,07.01.2011,17,14,5,12,6,7,2,2,2,
100,PATNI COMPUTERS,"UG - 3.25
PG - 3.75",07.01.2011,3,0,3,2,NA,NA,NA,NA,NA,
101,GODREJ BOYCE,3,08.01.2011,1,0,2,NA,1,1,NA,NA,NA,
102,SYNTEL INC,2.8,09.01.2011,2,4,0,0,0,0,NA,NA,NA,
103,BANK OF AMERICA,3,10.01.2011,6,4,4,0,NA,NA,NA,NA,NA,
104,FMC TECHNOLOGIES,5.1,10.01.2011,NA,NA,NA,NA,2,NA,NA,NA,NA,
105,SONATA SOFTWARE LTD.,4.6,11.01.2011,2,5,0,0,NA,NA,NA,NA,NA,
106,INTERGRAPH,3.3,12.01.2011,3,1,0,0,0,0,0,NA,NA,
107,NAGARJUNA CONSTRUCTION COMPANY LIMITED,2,17.01.2011,NA,NA,NA,NA,NA,NA,12,NA,NA,
108,iGATE,2.7,17.01.2011,2,4,1,2,2,2,NA,NA,NA,
109,KMC CONSTRUCTIONS LTD.,2,21.01.2011,NA,NA,NA,NA,NA,NA,6,NA,NA,
110,HSBC,4,22.01.2011,0,0,0,0,1,NA,NA,NA,NA,
111,ERICSSON,4.5,24.01.2011,1,1,NA,NA,NA,NA,NA,NA,NA,
112,INFOTECH,2.7,25.01.2011,0,0,0,0,0,0,NA,NA,NA,
113,L & T INFOTECH,3.25,27.01.2011,0,0,0,0,NA,NA,NA,NA,NA,
114,QUEST GLOBAL,2.8,28.01.2011,NA,NA,NA,NA,3,6,NA,NA,NA,
115,COMPUTER SCIENCE CORPORATION,3.5,29.01.2011,0,2,NA,3,NA,NA,NA,NA,NA,
116,VIRTUSA,3,29.01.2011,1,0,0,0,NA,NA,NA,NA,NA,
117,SAP LABS,6.5,03.03.2011,NA,3,NA,1,NA,NA,NA,NA,NA,
118,HYDERABAD INDUSTRIES LTD.,5.85,23.03.2011,NA,NA,1,NA,0,0,NA,1,NA,
119,HYUNDAI MOTOR INDIA ENGINEERING (R & D),2.5,25.03.2011,NA,NA,NA,NA,6,3,NA,NA,NA,
120,BGR ENERGY,3,08.04.2011,NA,NA,0,NA,0,0,NA,NA,NA,
121,SIEMENS LTD.,4.25,20.04.2011,3,NA,2,NA,NA,NA,NA,NA,NA,
122,COCUBES,,21.04.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
123,INDIAN OIL TANKING,3.15,27.04.2011,NA,NA,NA,NA,0,5,3,5,NA,
124,PIAGGIO VEHICLES PVT. LTD.,3.5,28.04.2011,NA,NA,NA,NA,1,0,0,0,NA,
125,RAMKY,2.4,06.05.2011,NA,NA,NA,NA,0,0,0,4,NA,
126,DUPONT SERVICES CENTRE,3.5,18.05.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
127,MARKET TOOLS REASEARCH PVT. LTD.,2.5,21.05.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
128,MARKET TOOLS REASEARCH PVT. LTD.,2.5,21.05.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
129,IBM (INTERNSHIP),3,08.08.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
130,"GE - ES, INDIA (INTERNSHIP)",2,09.08.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
131,MICROSOFT (FTE),10.2,11.08.2011,NA,4,NA,1,NA,NA,NA,NA,NA,
132,MICROSOFT (INTERNSHIP),3,11.08.2011,NA,0,NA,1,NA,NA,NA,NA,NA,
133,GOOGLE,2.8,26.08.2011,0,2,0,0,0,0,0,0,0,
134,JP MORGAN CHASE,6.5,10.09.2011,NA,1,NA,8,NA,NA,NA,NA,NA,
135,CTS,3.35,"16 &
17.09.2011",76,79,34,35,37,25,28,35,24,
136,INFOSYS,3.25,19.09.2011,41,44,16,18,24,14,14,7,13,
137,CAPITAL IQ,5.8,20.09.2011,NA,1,NA,0,NA,NA,NA,NA,NA,
138,WIPRO,3.25,"21&
22.09.2011",53,41,16,10,11,16,16,14,11,
139,ACCENTURE,3,"23&
24.09.2011",9,7,0,9,6,3,3,1,5,
140,CAPGEMINI,3.05,26.09.2011,4,9,6,4,5,0,1,5,1,
141,MAQ,4.15,27.09.2011,NA,4,NA,1,NA,NA,NA,NA,NA,
142,CSC,3.3,28.09.2011,4,5,NA,4,NA,NA,NA,NA,NA,
143,CYBAGE,3,30.09.2011,2,1,NA,3,NA,NA,NA,NA,NA,
144,DELOITTE,4.65,10.10.2011,4,2,4,2,NA,NA,NA,NA,NA,
145,INFOTECH,3,12.10.2011,0,0,1,0,0,1,NA,NA,NA,
146,INTERGRAPH,3.5,13.10.2011,1,4,1,0,0,NA,0,NA,NA,
147,FMC TECHNOLOGIES,5.8,15.10.2011,NA,NA,NA,NA,1,0,NA,NA,NA,
148,ITC LTD,5.6,28.10.2011,NA,NA,1,NA,1,0,NA,NA,NA,
149,PEGA SYSTEMS,6,02.11.2011,4,3,0,4,NA,NA,NA,NA,NA,
150,iGATE,2.7,02.11.2011,3,1,NA,NA,1,1,NA,NA,NA,
151,"MEGHA ENGINEERING &
INFRASTRUCTURES LTD.",1.44,10.11.2011,NA,NA,NA,NA,NA,NA,8,NA,NA,
152,GMR,3.5,14.11.2011,0,0,1,1,0,NA,NA,NA,NA,
153,L& T (ECC) LTD,4.5,16.11.2011,NA,NA,2,NA,7,NA,10,NA,NA,
154,ADP,3.65,21.11.2011,1,3,1,0,NA,NA,NA,NA,NA,
155,BAJAJ FINANCE SERVICE LTD,2.25,25.11.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
156,ICICI SECURITIES,2.25,30.11.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
157,L & T IES,2.4,04.12.2011,5,NA,1,NA,4,5,NA,NA,NA,
158,MAHINDRA & MAHINDRA,6,15.12.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
159,AAS TECHNOLOGIES,1.8,16.12.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
160,NETRIPPLES,3.44,29.12.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
161,KARUR VYSYA BANK,4.5,02.01.2012,0,0,0,0,0,0,0,0,1,
162,TATA ADVANCED SYSTEMS,3,06.01.2012,NA,NA,NA,NA,2,1,NA,NA,NA,
163,"CII-Sohrabji Godrej Green Business
Centre",2.5,06.01.2012,NA,NA,NA,NA,0,NA,2,NA,NA,
164,SYNTEL INC,2.8,07.01-2012,0,0,0,0,0,0,0,0,0,
165,IGATE PATNI,2.7,16.01.2012,1,0,0,2,0,1,0,NA,NA,
166,PIAGGIO,2.4,19.01.2012,NA,NA,NA,NA,2,1,NA,NA,NA,
167,HDFC STANDARD LIFE INSURANCE,2,02.02.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
168,HUSYS,1.6,02.04.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
169,BHARATH ELECTRONICS LIMITED,6,05.02.2012,1,NA,NA,NA,0,NA,NA,NA,NA,
170,HYDERABAD INDUSTRIES LTD,5.6,06.02.2012,NA,NA,0,NA,2,0,0,1,NA,
171,BANK OF AMERICA,3,08.02.2012,1,2,1,1,0,0,NA,NA,NA,
172,ANAND AUTOMOTIVE LTD,4.15,21.02.2012,NA,NA,NA,NA,1,0,NA,NA,NA,
173,WELLS FARGO,5,17.03.2012,7,7,1,3,1,0,0,2,0,
